Timestamp,UID,Time,Name,Target,Info,State,Version
3/7/2018 16:36:09,Linux-Chrome-026207011847685147,1520462168399,mousedown,button#create-event-button.btn.btn-secondary,"{""which"":1,""pageX"":702,""pageY"":331}",,A
3/7/2018 16:36:10,Linux-Chrome-026207011847685147,1520462170214,mousedown,input#event-name.title.col-md-12,"{""which"":1,""pageX"":606,""pageY"":77}",,A
3/7/2018 16:36:11,Linux-Chrome-026207011847685147,1520462170772,keydown,input#event-name.title.col-md-12,"{""which"":16}",,A
3/7/2018 16:36:11,Linux-Chrome-026207011847685147,1520462171071,keydown,input#event-name.title.col-md-12,"{""which"":69}",,A
3/7/2018 16:36:12,Linux-Chrome-026207011847685147,1520462171347,keydown,input#event-name.title.col-md-12,"{""which"":86}",,A
3/7/2018 16:36:12,Linux-Chrome-026207011847685147,1520462171463,keydown,input#event-name.title.col-md-12,"{""which"":69}",,A
3/7/2018 16:36:12,Linux-Chrome-026207011847685147,1520462171608,keydown,input#event-name.title.col-md-12,"{""which"":78}",,A
3/7/2018 16:36:12,Linux-Chrome-026207011847685147,1520462171726,keydown,input#event-name.title.col-md-12,"{""which"":84}",,A
3/7/2018 16:36:12,Linux-Chrome-026207011847685147,1520462171812,keydown,input#event-name.title.col-md-12,"{""which"":32}",,A
3/7/2018 16:36:13,Linux-Chrome-026207011847685147,1520462172687,keydown,input#event-name.title.col-md-12,"{""which"":52}",,A
3/7/2018 16:36:13,Linux-Chrome-026207011847685147,1520462173058,keydown,input#event-name.title.col-md-12,"{""which"":9}",,A
3/7/2018 16:36:14,Linux-Chrome-026207011847685147,1520462173415,keydown,input#event-location.col-md-12,"{""which"":16}",,A
3/7/2018 16:36:14,Linux-Chrome-026207011847685147,1520462173747,keydown,input#event-location.col-md-12,"{""which"":76}",,A
3/7/2018 16:36:14,Linux-Chrome-026207011847685147,1520462173914,keydown,input#event-location.col-md-12,"{""which"":79}",,A
3/7/2018 16:36:14,Linux-Chrome-026207011847685147,1520462174066,keydown,input#event-location.col-md-12,"{""which"":67}",,A
3/7/2018 16:36:14,Linux-Chrome-026207011847685147,1520462174120,keydown,input#event-location.col-md-12,"{""which"":65}",,A
3/7/2018 16:36:15,Linux-Chrome-026207011847685147,1520462174395,keydown,input#event-location.col-md-12,"{""which"":84}",,A
3/7/2018 16:36:15,Linux-Chrome-026207011847685147,1520462174532,keydown,input#event-location.col-md-12,"{""which"":79}",,A
3/7/2018 16:36:15,Linux-Chrome-026207011847685147,1520462174480,keydown,input#event-location.col-md-12,"{""which"":73}",,A
3/7/2018 16:36:15,Linux-Chrome-026207011847685147,1520462174655,keydown,input#event-location.col-md-12,"{""which"":78}",,A
3/7/2018 16:36:15,Linux-Chrome-026207011847685147,1520462174742,keydown,input#event-location.col-md-12,"{""which"":32}",,A
3/7/2018 16:36:15,Linux-Chrome-026207011847685147,1520462175183,keydown,input#event-location.col-md-12,"{""which"":52}",,A
3/7/2018 16:36:17,Linux-Chrome-026207011847685147,1520462176632,mousedown,input#event-start-date,"{""which"":1,""pageX"":650,""pageY"":177}",,A
3/7/2018 16:36:19,Linux-Chrome-026207011847685147,1520462178308,mousedown,td.xdsoft_date.xdsoft_day_of_week1 div,"{""which"":1,""pageX"":665,""pageY"":298}",,A
3/7/2018 16:36:20,Linux-Chrome-026207011847685147,1520462179360,mousedown,div.xdsoft_time,"{""which"":1,""pageX"":860,""pageY"":288}",,A
3/7/2018 16:36:21,Linux-Chrome-026207011847685147,1520462180760,mousedown,input#event-end-date,"{""which"":1,""pageX"":688,""pageY"":210}",,A
3/7/2018 16:36:22,Linux-Chrome-026207011847685147,1520462181638,mousedown,td.xdsoft_date.xdsoft_day_of_week2 div,"{""which"":1,""pageX"":687,""pageY"":381}",,A
3/7/2018 16:36:23,Linux-Chrome-026207011847685147,1520462182776,mousedown,div.xdsoft_time.xdsoft_current,"{""which"":1,""pageX"":852,""pageY"":374}",,A
3/7/2018 16:36:25,Linux-Chrome-026207011847685147,1520462184751,mousedown,select#recurrent-event-type-selector,"{""which"":1,""pageX"":643,""pageY"":243}",,A
3/7/2018 16:36:27,Linux-Chrome-026207011847685147,1520462187002,mousedown,input#recurrent-event-end-date,"{""which"":1,""pageX"":679,""pageY"":268}",,A
